,year,country,word,frequency,count,freq_prop_headlines,word_len
127912,2009,India,body,15.0,2356,0.006366723259762309,4
127913,2010,India,body,14.0,3168,0.004419191919191919,4
127914,2011,India,body,20.0,4876,0.004101722723543888,4
127915,2012,India,body,18.0,7268,0.0024766097963676388,4
127916,2013,India,body,34.0,9820,0.0034623217922606924,4
127917,2014,India,body,57.0,15004,0.0037989869368168488,4
127918,2015,India,body,94.0,21064,0.004462590201291303,4
127919,2016,India,body,145.0,28024,0.005174136454467599,4
127920,2017,India,body,155.0,34194,0.0045329589986547346,4
127921,2018,India,body,181.0,38340,0.004720918101199792,4
127922,2019,India,body,213.0,41698,0.005108158664684157,4
127923,2020,India,body,0.0,674,0.0,4
127924,2021,India,body,1.0,3188,0.0003136762860727729,4
131631,2005,India,book,0.0,172,0.0,4
131632,2006,India,book,0.0,204,0.0,4
131633,2007,India,book,0.0,496,0.0,4
131634,2008,India,book,2.0,1368,0.0014619883040935672,4
131635,2009,India,book,4.0,2356,0.001697792869269949,4
131636,2010,India,book,4.0,3168,0.0012626262626262627,4
131637,2011,India,book,33.0,4876,0.006767842493847416,4
131638,2012,India,book,21.0,7268,0.0028893780957622455,4
131639,2013,India,book,28.0,9820,0.0028513238289205704,4
131640,2014,India,book,46.0,15004,0.0030658491069048255,4
131641,2015,India,book,72.0,21064,0.003418154196733764,4
131642,2016,India,book,128.0,28024,0.004567513559805881,4
131643,2017,India,book,142.0,34194,0.004152775340703047,4
131644,2018,India,book,157.0,38340,0.004094940010432968,4
131645,2019,India,book,184.0,41698,0.004412681663389132,4
131646,2020,India,book,0.0,674,0.0,4
131647,2021,India,book,0.0,3188,0.0,4
136170,2005,India,boy,1.0,516,0.001937984496124031,3
136171,2006,India,boy,2.0,612,0.0032679738562091504,3
136172,2007,India,boy,9.0,1488,0.006048387096774193,3
136173,2008,India,boy,18.0,4104,0.0043859649122807015,3
136174,2009,India,boy,33.0,7068,0.00466893039049236,3
136175,2010,India,boy,43.0,9504,0.004524410774410775,3
136176,2011,India,boy,42.0,14628,0.002871205906480722,3
136177,2012,India,boy,48.0,21804,0.002201430930104568,3
136178,2013,India,boy,71.0,29460,0.002410047522063815,3
136179,2014,India,boy,111.0,45012,0.0024660090642495336,3
136180,2015,India,boy,144.0,63192,0.002278769464489176,3
136181,2016,India,boy,199.0,84072,0.0023670187458369016,3
136182,2017,India,boy,236.0,102582,0.002300598545553801,3
136183,2018,India,boy,269.0,115020,0.0023387237002260477,3
136184,2019,India,boy,231.0,125094,0.0018466113482661038,3
136185,2020,India,boy,0.0,2022,0.0,3
136186,2021,India,boy,0.0,9564,0.0,3
136374,2005,India,boyfriend,0.0,430,0.0,9
136375,2006,India,boyfriend,0.0,510,0.0,9
136376,2007,India,boyfriend,1.0,1240,0.0008064516129032258,9
136377,2008,India,boyfriend,5.0,3420,0.0014619883040935672,9
136378,2009,India,boyfriend,11.0,5890,0.001867572156196944,9
136379,2010,India,boyfriend,13.0,7920,0.0016414141414141414,9
136380,2011,India,boyfriend,21.0,12190,0.0017227235438884332,9
136381,2012,India,boyfriend,23.0,18170,0.0012658227848101266,9
136382,2013,India,boyfriend,21.0,24550,0.0008553971486761711,9
136383,2014,India,boyfriend,47.0,37510,0.0012529992002132764,9
136384,2015,India,boyfriend,68.0,52660,0.0012913026965438662,9
136385,2016,India,boyfriend,84.0,70060,0.0011989723094490436,9
136386,2017,India,boyfriend,70.0,85485,0.0008188571094344037,9
136387,2018,India,boyfriend,107.0,95850,0.0011163275952008347,9
136388,2019,India,boyfriend,134.0,104245,0.0012854333541177036,9
